visitor_ab,visitor_sac_hits,visitor_sac_flies,visitor_hbp,visitor_walks,visitor_int_walks,visitor_,home_ab,home_sac_hits,home_sac_flies,home_hbp,home_walks,home_int_walks,visitor_pa,home_pa
32,0,0,1,4,0,0,31,0,0,0,2,0,37,33
35,0,0,1,2,0,0,31,0,0,0,3,0,38,34
35,0,0,0,2,0,0,36,0,0,1,2,1,37,40
31,0,1,2,2,0,0,42,0,0,2,6,0,36,50
32,0,2,0,6,0,0,31,0,1,0,5,0,40,37
33,0,0,1,5,0,0,29,0,0,1,3,0,39,33
35,0,0,0,3,0,0,33,0,0,0,2,0,38,35
36,0,2,1,7,1,0,29,2,1,0,6,0,47,38
34,0,1,1,3,0,0,29,0,0,0,5,0,39,34
31,0,0,0,2,0,0,29,0,0,0,4,0,33,33
34,0,2,0,1,0,0,31,0,0,2,2,0,37,35
33,0,0,1,1,0,0,31,0,1,0,1,0,35,33
34,1,1,0,7,3,0,30,1,0,0,1,0,46,32
34,0,0,0,2,0,0,37,0,1,0,2,0,36,40
28,0,0,0,4,0,0,33,0,0,0,3,0,32,36
34,0,0,0,3,0,0,33,0,0,0,0,0,37,33
37,0,0,0,5,0,0,31,0,0,1,4,0,42,36
30,0,0,0,0,0,0,28,0,0,1,3,0,30,32
33,0,0,0,0,0,0,31,1,1,0,6,0,33,39
36,0,0,0,5,0,0,28,0,1,0,8,0,41,37
31,0,0,0,0,0,0,37,0,0,0,6,0,31,43
35,0,0,0,2,0,0,31,0,0,1,6,0,37,38
32,0,0,0,6,0,0,32,0,0,1,1,0,38,34
32,0,0,0,1,0,0,32,0,1,1,2,1,33,37
42,1,0,0,6,1,0,40,0,0,2,4,0,50,46
31,0,0,0,3,0,0,32,0,0,0,1,0,34,33
37,0,0,0,3,0,0,30,0,0,0,3,0,40,33
32,0,0,0,4,0,0,33,0,0,0,6,0,36,39
31,0,1,1,1,0,0,37,0,1,1,5,0,34,44
31,0,0,1,4,0,0,30,0,0,0,8,0,36,38
37,0,1,1,1,0,0,36,0,1,0,3,0,40,40
35,1,0,0,2,0,0,33,0,0,0,3,0,38,36
31,0,0,1,5,0,0,30,0,0,0,8,0,37,38
37,0,0,1,2,0,0,35,0,0,1,2,0,40,38
39,0,0,0,2,0,0,32,0,0,0,3,0,41,35
38,0,0,1,6,0,0,31,0,0,0,1,0,45,32
34,0,1,0,1,0,0,35,0,0,1,1,0,36,37
36,0,1,0,4,0,1,39,0,0,2,1,0,42,42
34,1,0,1,0,0,0,33,0,0,0,2,0,36,35
33,0,0,0,4,1,0,34,0,0,0,2,0,38,36
35,0,1,0,5,0,0,39,0,0,0,0,0,41,39
33,0,1,0,6,0,0,31,0,1,0,0,0,40,32
35,0,0,0,0,0,0,33,0,0,0,3,0,35,36
37,0,0,0,3,0,0,30,0,0,0,2,0,40,32
30,0,0,1,1,0,0,33,0,0,0,3,0,32,36
33,0,0,0,1,0,0,27,1,0,2,2,0,34,32
32,0,0,0,4,0,0,33,0,0,0,5,2,36,40
35,1,0,0,2,0,0,35,0,0,0,2,0,38,37
29,0,2,3,4,0,0,29,1,1,1,3,0,38,35
34,0,0,1,0,0,0,32,0,0,1,3,0,35,36
35,0,0,0,7,0,0,32,0,0,0,4,0,42,36
35,0,0,0,2,0,0,36,0,0,0,1,0,37,37
31,0,0,0,2,0,0,33,1,0,1,5,0,33,40
31,0,0,0,6,0,1,38,0,0,0,5,0,38,43
33,0,0,1,2,0,0,37,0,0,0,5,0,36,42
33,0,0,1,2,0,0,30,2,3,0,4,0,36,39
33,0,0,1,0,0,0,32,0,0,1,4,1,34,38
39,0,1,0,4,0,0,31,0,0,1,3,0,44,35
30,0,0,0,4,0,0,27,0,0,0,2,0,34,29
30,0,0,0,1,0,0,33,0,0,3,4,0,31,40
37,0,0,0,2,0,0,32,0,0,1,3,0,39,36
30,0,1,0,5,0,1,32,0,0,1,0,0,37,33
35,0,1,3,2,0,0,39,0,1,0,3,0,41,43
28,0,0,1,2,0,0,27,0,0,0,1,0,31,28
32,0,0,0,1,0,0,30,0,1,0,2,0,33,33
38,0,0,0,2,0,0,33,0,0,1,3,0,40,37
35,0,0,3,3,0,0,32,0,1,1,6,0,41,40
44,0,0,0,4,0,0,38,0,0,0,2,0,48,40
34,0,2,0,3,0,0,35,0,0,1,10,0,39,46
31,0,0,0,2,0,0,33,0,0,0,2,0,33,35
33,0,0,2,1,0,0,33,0,0,0,2,0,36,35
34,1,2,0,4,0,0,33,0,0,0,1,0,41,34
31,0,1,0,7,0,0,33,0,0,1,4,0,39,38
34,0,0,0,2,0,0,29,0,0,2,2,0,36,33
35,0,0,0,0,0,0,32,0,0,0,3,0,35,35
20,0,0,0,1,0,0,18,0,0,0,1,0,21,19
33,0,1,1,2,0,0,34,0,0,0,2,0,37,36
36,0,0,0,0,0,0,33,0,0,2,4,0,36,39
34,0,0,0,0,0,0,30,0,0,0,0,0,34,30
38,0,1,1,2,0,0,30,0,1,0,5,0,42,36
41,1,0,1,5,0,0,36,0,0,1,4,0,48,41
